,Review,Departments
2056,bought defective apple pencil probably worked first charge ran refused charge busy not call apple support owned pencil weeks talked thou resecting charged worked week amazon offers no return defective apple products sent apple support not care much time spend talking fix problem remember brought apple product online busy go store well unlucky enough buy defective product can make multiple trips apple store degree weather sad know store can not even help apple pencils store can trouble shooting can not note phone also sending apple store make sure store one stock that really going store offer replace make another trip store order sorry can not ship really trip store fix problem brand new device like paying shipping send something broken first place spent time customer service calls apple support team sent apple store person apple store can anything else troubleshoot apple pencils online person can top not even replacement pencil clearly needed could bought new pencil time apple wasted trying fix defect point entirely insulted apples total lack respect customers time supposed brand new product not mention apple waste employees time amount time paid employees give run around could paid pencils normally apple lover shame apple ,"Customer Service, Product Quality, Shipping, Technical Support, Marketing, Sales"
2057,poor customer service not weld care one side bit in return ,Customer Service
2058,product good first day opened second day left ear bud not working cheap product cheap price cheap quality not prefer buy kindly recommend decision inshaallah benefited ,"Product Quality, Sales"
2059,quality baggage not good not able bear weight easily break ,Product Quality
2060,per price good value material not high compared price good bought get ears use airport using original apple pads connected phone pour appears is good product low price not test battery time received today ,"Product Quality, Shipping, Sales"
2061,good cool simple colours not coming,General
2062,isn phone like though time description not say maybe apple tablet assuming ,General
2063,good not colors made sad,General
2064,not removed dead skin bad experience,General
2065,pencil great tasks need complete tablet unfortunately true reviews saying really lasts year totally crops mine year weeks trouble shooting common problems solutions far no luck ,Technical Support
2066,dear vendor ordered paid aluminium guards either sent item made plastic brother going return thanks humble request please send always item mention description japan allah,"Customer Service, Product Quality, Shipping, Sales"
2067,one box expired ,General
2068,yet see still a looks good,General
2069,amazon box perfect condition apple pencil inside opened used battery used pencil returning new one ,General
2070,lay delivery mouse good working,Shipping
2071,company fraud ordered big size sundry baskets send smallest ones called company claim talked professional way can not even imagine not bother ,"Customer Service, Shipping, Sales"
2072,one week started slipping marble average product ,Product Quality
2073,ok everyday he ,General
2074,mouse quality low seem aesthetically pleasing quality side pathetic,"Customer Service, Product Quality"
2075,normal quality average ,Product Quality
2076,worst customer service first delivered lights poor quality told not like lights poor quality not respond,"Customer Service, Product Quality"
2077,than shown picture remote present work,General
2078,sound not good,General
2079,shirts low quality one wash not able wear,Product Quality
2080,alarm alike some bluetooth quality good delivery thorn hair by hut otherwise product shown picture ,"Product Quality, Shipping"
2081,no smell no feel oil ,General
2082,in bad returned button broken zip broken,Product Quality
2083,excellent highly recommend good not know battery timing charging not mentioned box useful ,General
